ID;H2_ANNUAL_STOCK;H2_NO_LIMIT;GISEMENTS;HYDRO_STOCK_REMAINING;FIRST_WEEK_OPTIM;FIRST_WEEK_PARC_FIXE;Comment
8D1E0F39;false;false;true;false;12;1;
144931D5;false;false;true;false;35;1;
8CB18FC2;false;false;false;false;12;1;
9364FAFD;false;false;false;false;35;1;
C343DA44;true;false;false;false;12;1;
513A714E;true;false;false;false;35;1;
0F4BB1F7;true;false;true;false;12;1;
2D324015;true;false;true;false;35;1;
1A024C4B;true;false;false;false;35;35;(à jour) avec stock init h2 = 0 , cexs = 1000
E93932CB;true;false;false;false;35;1;avec stock init h2 = 0 et Pexc = 1000 mais pb de batterie
57163B0C;true;false;false;false;35;35;avec stock init h2 = 0 et Pexc = 1000 avec cntrainte batt
E0FBBF86;true;false;true;false;35;35;avec stock init h2 = 0 et Pexc = 0
C7D209B1;true;false;false;false;35;35;avec stock init h2 = 0 et Pexc = 0
